Text,Sentiment
"من عاشق این محصول هستم !",Positive
"روز قشنگیه",Positive
"این بدترین تجربه ممکن بود.",Negative
"من احساس میکنم این محصول خوبه.",Neutral
"امروز خیلی خوشحال بودم و روز فوق‌العاده‌ای داشتم.",Positive
"هوا بارانی و دلگیر بود و تمام روز افسرده بودم.",Negative
"امروز یه روز عادی بود، نه خوب و نه بد.",Neutral
"دیدن خانواده‌ام واقعاً حالم را خوب کرد.",Positive
"مشکلات کاری باعث شد کل روزم خراب بشه.",Negative
"روز کاری متوسطی داشتم، کار خاصی انجام نشد.",Neutral
"پیاده‌روی در هوای آفتابی خیلی لذت‌بخش بود.",Positive
"تاخیر در برنامه‌هایم روزمو نابود کرد.",Negative
"کتابی که خوندم خوب بود ولی خیلی تاثیرگذار نبود.",Neutral
"یه کتاب عالی خوندم و خیلی لذت بردم.",Positive
"بحث با یکی از اعضای خانواده حالمو بد کرد.",Negative
"امروز فقط استراحت کردم و کار خاصی انجام ندادم.",Neutral
"بازی امروز تیم مورد علاقه‌ام بی‌نظیر بود.",Positive
"یه خبر بد شنیدم که خیلی اذیتم کرد.",Negative
"روز بدون هیجانی رو سپری کردم.",Neutral
"تجربه یک غذای جدید خیلی عالی بود.",Positive
"تصادفی که دیدم تمام روز ذهنمو مشغول کرد.",Negative
"یه فیلم دیدم که نه خیلی خوب بود و نه بد.",Neutral
"امروز موفق شدم پروژه‌ام را تمام کنم، حس فوق‌العاده‌ای دارم.",Positive
"از خرید امروز اصلاً راضی نبودم.",Negative
"روز کاری پرمشغله‌ای داشتم، ولی همه چیز طبق برنامه پیش رفت.",Neutral
"تحویل سریع و بسته‌بندی عالی بود.",Positive
"محصول خراب به دستم رسید.",Negative
"این تجربه خرید بی‌نظیر بود.",Positive
"پشتیبانی پاسخگو نبود.",Negative
"کیفیت فراتر از انتظار من بود.",Positive
"محصول با توضیحات مطابقت نداشت.",Negative
"بسته‌بندی بسیار حرفه‌ای بود.",Positive
"تجربه خرید از این فروشگاه بدترین بود.",Negative
"ارسال به‌موقع و کیفیت عالی.",Positive
"محصول آسیب‌دیده به دستم رسید.",Negative
"این محصول ارزش خرید دارد.",Positive
"هیچ کمکی از طرف پشتیبانی دریافت نکردم.",Negative
"تجربه‌ای فوق‌العاده و رضایت‌بخش.",Positive
"محصول اصلاً انتظاراتم را برآورده نکرد.",Negative
"ارسال سریع و کیفیت بالای محصول.",Positive
"تحویل بسیار دیر و بی‌کیفیت بود.",Negative
"محصول عالی و بسیار کاربردی.",Positive
"این بدترین خرید من بود.",Negative
"از خرید این کالا بسیار راضی هستم.",Positive
"پشتیبانی اصلاً پاسخگو نبود.",Negative
"کیفیت محصول شگفت‌انگیز بود.",Positive
"این تجربه واقعاً افتضاح بود.",Negative
"محصول دقیقاً همان چیزی بود که می‌خواستم.",Positive
"محصول ناقص به دست من رسید.",Negative
"تحویل کالا بی‌نقص و سریع بود.",Positive
"کیفیت محصول افتضاح بود.",Negative
"خدمات این فروشگاه فوق‌العاده است.",Positive
"این تجربه خرید را به هیچ‌کس توصیه نمی‌کنم.",Negative
"از خرید این محصول بسیار خوشحالم.",Positive
"محصول اصلاً شبیه عکس نبود.",Negative
"پشتیبانی بسیار خوب و سریع بود.",Positive
"تحویل بسیار کند و نامطلوب بود.",Negative
"این کالا واقعاً باکیفیت است.",Positive
"تجربه خرید بسیار ناامیدکننده بود.",Negative
"ارسال سریع و محصول فوق‌العاده.",Positive
"کیفیت اصلاً رضایت‌بخش نبود.",Negative
"محصول به‌موقع و سالم رسید.",Positive
"این محصول پول هدر دادن بود.",Negative
"بسته‌بندی خیلی خوب بود.",Positive
"محصول دست دوم به نظر می‌رسید.",Negative
"این بهترین خرید من بود.",Positive
"تحویل کالا بسیار نامرتب بود.",Negative
"محصول با کیفیت و عالی است.",Positive
"کیفیت خیلی پایین بود.",Negative
"محصول دقیقاً شبیه توضیحات بود.",Positive
"هیچ چیز خوبی درباره این محصول نمی‌توانم بگویم.",Negative
"این محصول واقعاً عالی است.",Positive
"تحویل بسیار طول کشید.",Negative
"محصول فراتر از انتظار من بود.",Positive
"پشتیبانی بسیار بد بود.",Negative
"کیفیت بسته‌بندی عالی بود.",Positive
"کالا آسیب‌دیده تحویل داده شد.",Negative
"این محصول ارزش پولی که پرداخت کردم را دارد.",Positive
"این تجربه بسیار ناخوشایند بود.",Negative
"محصول بی‌نقص بود و بسیار راضی هستم.",Positive
"کیفیت بدتر از چیزی بود که تصور می‌کردم.",Negative
"خرید این محصول تجربه‌ای لذت‌بخش بود.",Positive
"پشتیبانی هیچ کمکی نکرد.",Negative
"محصول بسیار کاربردی و عالی بود.",Positive
"این بدترین تجربه من از خرید آنلاین بود.",Negative
"محصول مطابق توضیحات بود و بسیار عالی.",Positive
"تحویل بسیار دیر انجام شد.",Negative
"کیفیت عالی و خدمات بی‌نقص.",Positive
"محصول مشکل داشت و کار نمی‌کرد.",Negative
"من واقعاً از این خرید خوشحال هستم.",Positive
"این فروشگاه اصلاً توصیه نمی‌شود.",Negative
"محصول بسیار زیبا و باکیفیت بود.",Positive
"کالا دیرتر از زمان وعده داده شده رسید.",Negative
"از خرید این محصول بسیار راضی هستم.",Positive
"محصول کاملاً اشتباه ارسال شده بود.",Negative
"خدمات مشتریان فوق‌العاده است.",Positive
"پشتیبانی اصلاً پاسخگو نبود.",Negative
"کیفیت بهتر از چیزی بود که انتظار داشتم.",Positive
"بسته‌بندی بسیار ضعیف بود.",Negative
"محصول همان چیزی بود که به دنبالش بودم.",Positive
"هیچ ویژگی مثبتی در این محصول نمی‌بینم.",Negative
"خدمات عالی و سریع.",Positive
"محصول بسیار بی‌کیفیت بود.",Negative
"محصول بدون مشکل به دستم رسید.",Positive
"کالا خیلی زود خراب شد.",Negative
"این فروشگاه همیشه بهترین خدمات را ارائه می‌دهد.",Positive
"محصول اصلاً به درد نمی‌خورد.",Negative
"از کیفیت این محصول واقعاً شگفت‌زده شدم.",Positive
"این بدترین تجربه ممکن بود.",Negative
"محصول دقیقاً همان چیزی بود که انتظار داشتم.",Positive
"پشتیبانی کاملاً غیرحرفه‌ای بود.",Negative
"این محصول یکی از بهترین خریدهای من بود.",Positive
"تحویل خیلی طول کشید و ناامید شدم.",Negative
"این فیلم واقعاً فوق‌العاده بود و من را تحت تأثیر قرار داد.",Positive
"کیفیت صدا در کنسرت افتضاح بود.",Negative
"این رستوران بهترین غذاها را سرو می‌کند.",Positive
"سرویس‌دهی در این کافه بسیار کند بود.",Negative
"پارک محلی ما بسیار تمیز و زیباست.",Positive
"خیابان‌ها پر از زباله و غیرقابل تحمل شده‌اند.",Negative
"نمایش تئاتر شب گذشته بسیار زیبا بود.",Positive
"تجربه من در این کتابخانه واقعاً بد بود.",Negative
"محیط این کلاس آموزشی بسیار انگیزه‌بخش است.",Positive
"برنامه‌ریزی این رویداد بسیار ضعیف بود.",Negative
"تجربه سفر با این تور بی‌نظیر بود.",Positive
"اتوبوس‌ها همیشه دیر می‌رسند و بسیار شلوغ هستند.",Negative
"این کتاب یکی از بهترین‌هایی بود که خوانده‌ام.",Positive
"کیفیت برنامه تلویزیونی بسیار پایین بود.",Negative
"پیاده‌روی در این جنگل آرامش‌بخش و لذت‌بخش بود.",Positive
"این جاده‌ها پر از دست‌انداز و غیرقابل استفاده هستند.",Negative
"کلاس موسیقی امروز بسیار آموزنده و جذاب بود.",Positive
"معلم کلاس هیچ‌گونه کمکی نکرد و کاملاً بی‌تفاوت بود.",Negative
"نمایشگاه نقاشی الهام‌بخش و خلاقانه بود.",Positive
"کیفیت غذا در این بیمارستان واقعاً غیرقابل قبول است.",Negative
"این ساحل بهترین مکانی است که تا به حال دیده‌ام.",Positive
"سطح آب رودخانه بسیار کثیف شده است.",Negative
"کنسرت شب گذشته یک تجربه بی‌نظیر بود.",Positive
"صف‌ها در این اداره بسیار طولانی و کلافه‌کننده بودند.",Negative
"مطالعه در این کتابخانه آرامش خاصی دارد.",Positive
"سرویس‌دهی این مجموعه ورزشی اصلاً رضایت‌بخش نبود.",Negative
"نمایشگاه علمی بسیار جالب و مفید بود.",Positive
"ترافیک این شهر واقعاً دیوانه‌کننده است.",Negative
"این فیلم مستند اطلاعات بسیار خوبی ارائه کرد.",Positive
"کیفیت اینترنت در این منطقه افتضاح است.",Negative
"برنامه هنری اجرا شده بسیار تأثیرگذار بود.",Positive
"محیط عمومی این باشگاه بسیار بی‌نظم بود.",Negative
"این پارک بازی کودکان بسیار ایمن و تمیز است.",Positive
"هیچگونه امکانات رفاهی در این منطقه وجود ندارد.",Negative
"شرکت در این مسابقه ورزشی یک تجربه عالی بود.",Positive
"امکانات بهداشتی این مکان بسیار ضعیف است.",Negative
"این شهر پر از انرژی و نشاط است.",Positive
"ترافیک صبحگاهی این منطقه غیرقابل تحمل است.",Negative
"نمایشگاه بین‌المللی بسیار جذاب و حرفه‌ای بود.",Positive
"نظم در این ایستگاه قطار واقعاً افتضاح است.",Negative
"برنامه فرهنگی امروز بسیار متنوع و سرگرم‌کننده بود.",Positive
"این خیابان‌ها نیاز به بازسازی فوری دارند.",Negative
"آموزش‌های آنلاین این دانشگاه بسیار مفید و کاربردی هستند.",Positive
"سطح خدمات این مدرسه بسیار پایین بود.",Negative
"پارک ملی بسیار زیبا و حفاظت‌شده است.",Positive
"وضعیت بهداشتی در این رستوران بسیار نگران‌کننده است.",Negative
"برنامه کوهنوردی تیم ما فوق‌العاده بود.",Positive
"امکانات ورزشی این مجموعه واقعاً افتضاح است.",Negative
"فیلم کوتاه امروز بسیار الهام‌بخش بود.",Positive
"برنامه‌ریزی این مسابقه ورزشی بسیار بد بود.",Negative
"این منطقه بهترین جاذبه گردشگری را دارد.",Positive
"کیفیت هوای این شهر به شدت افت کرده است.",Negative
"برنامه علمی رادیو امروز بسیار جالب بود.",Positive
"کیفیت خوابگاه دانشگاه اصلاً رضایت‌بخش نبود.",Negative
"این نمایشگاه هنری واقعاً دیدنی بود.",Positive
"وضعیت حمل و نقل عمومی این شهر بسیار بد است.",Negative
"این کتاب داستانی بسیار جالب و خواندنی داشت.",Positive
"کنسرت خیلی بی‌نظم و کلافه‌کننده بود.",Negative
"شرکت در این کارگاه آموزشی بسیار مفید بود.",Positive
"پاسخگویی این سازمان بسیار کند و نامناسب است.",Negative
"موزه امروز واقعاً شگفت‌انگیز بود.",Positive
"کیفیت خدمات بانکی در این شعبه بسیار پایین است.",Negative
"کافه جدید شهر محیطی بسیار دوستانه و دلپذیر دارد.",Positive
"پارکینگ این مکان بسیار محدود و پرازدحام است.",Negative
"تور طبیعت‌گردی بسیار جذاب و آموزنده بود.",Positive
"نظم در این مسابقه کاملاً رعایت نشده بود.",Negative
"مناظر این جاده کوهستانی بسیار زیبا و آرامش‌بخش بود.",Positive
"این هتل خدمات بسیار ضعیفی ارائه می‌دهد.",Negative
"تالار کنفرانس امروز بسیار مجهز و عالی بود.",Positive
"امکانات رفاهی این اردوگاه واقعاً ناکافی بود.",Negative
"این کتابخانه یکی از بهترین‌های شهر است.",Positive
"سطح خدمات در این فرودگاه بسیار پایین است.",Negative
"نمایشگاه گل‌ها بسیار رنگارنگ و زیبا بود.",Positive
"وضعیت نظافت در این پارک عمومی غیرقابل قبول است.",Negative
"این سینما محیط بسیار جذابی دارد.",Positive
"تجربه استفاده از این مترو بسیار بد بود.",Negative
"این تیم فوتبال امروز بازی فوق‌العاده‌ای داشت.",Positive
"ورزشگاه کاملاً غیرمنظم و کثیف بود.",Negative
"برنامه‌های رادیویی امروز بسیار سرگرم‌کننده بودند.",Positive
"وضعیت سرویس‌های بهداشتی در این مکان افتضاح بود.",Negative
"موزه باستان‌شناسی واقعاً دیدنی و آموزنده بود.",Positive
"این اتوبوس‌ها همیشه با تأخیر حرکت می‌کنند.",Negative
"فعالیت‌های فرهنگی امروز بسیار خلاقانه بود.",Positive
"کیفیت خدمات شهری بسیار افت کرده است.",Negative
"این منطقه طبیعت بی‌نظیری دارد.",Positive
"ایستگاه اتوبوس بسیار نامرتب و کثیف بود.",Negative
"این فیلم واقعاً شگفت‌انگیز بود. این بهترین فیلمی بود که امسال دیده‌ام.",Positive
"خیلی از بودن در این مکان لذت بردم. فضای بسیار دلنشینی داشت.",Positive
"تجربه‌ای فوق‌العاده و خاص بود. امیدوارم باز هم تکرار شود.",Positive
"از دیدار با دوستانم واقعاً خوشحال شدم. لحظات خوبی داشتیم.",Positive
"این رویداد برایم بسیار انگیزه‌بخش بود. از سخنرانی‌های الهام‌بخش لذت بردم.",Positive
"احساس می‌کنم امروز خیلی مفید بودم. کارهای زیادی انجام دادم.",Positive
"کلاس امروز خیلی جذاب و آموزنده بود. استاد عالی توضیح داد.",Positive
"از صحبت با شما حس خوبی گرفتم. گفتگوی فوق‌العاده‌ای بود.",Positive
"این برنامه تلویزیونی واقعاً دیدنی بود. همه قسمت‌ها جذاب بودند.",Positive
"کار امروز خیلی بهتر از چیزی که انتظار داشتم پیش رفت. همه چیز عالی بود.",Positive
"این تجربه خیلی خسته‌کننده بود. هیچ چیز جالبی نداشت.",Negative
"احساس بدی نسبت به این شرایط دارم. همه چیز خیلی آزاردهنده بود.",Negative
"کلاس امروز اصلاً جذاب نبود. موضوعات خسته‌کننده بودند.",Negative
"این فیلم بی‌محتوا و کسل‌کننده بود. وقت تلف کردن بود.",Negative
"از بودن در این مکان احساس ناراحتی کردم. فضا خیلی شلوغ و نامرتب بود.",Negative
"صحبت با او حس بدی به من داد. خیلی بی‌ادبانه برخورد کرد.",Negative
"رویداد به شدت نامنظم و آزاردهنده بود. اصلاً خوب سازمان‌دهی نشده بود.",Negative
"احساس می‌کنم امروز وقتم را هدر دادم. هیچ کار مفیدی انجام نشد.",Negative
"این برنامه اصلاً ارزش دیدن نداشت. وقت خودم را تلف کردم.",Negative
"کار امروز به شدت سخت و استرس‌زا بود. از نتیجه کار راضی نبودم.",Negative
"چراغ‌های خیابان روشن هستند.",Neutral
"کتاب‌ها بر روی قفسه قرار دارند.",Neutral
"ساعت دیواری نشان می‌دهد که زمان گذشته است.",Neutral
"درختان برگ‌های خود را ریخته‌اند.",Neutral
"ماشین پارک شده است.",Neutral
"یک لیوان آب روی میز است.",Neutral
"پنجره‌ها باز هستند.",Neutral
"در کلاس همه صندلی‌ها مرتب هستند.",Neutral
"هوای امروز نسبتاً سرد است.",Neutral
"در حیاط یک پیتزای بزرگ قرار دارد.",Neutral
"آسمان امروز صاف است.",Neutral
"این کتاب در کتابخانه قرار دارد.",Neutral
"روی میز یک قلم وجود دارد.",Neutral
"درختان در حیاط رشد کرده‌اند.",Neutral
"دستگیره درب به رنگ نقره‌ای است.",Neutral
"کتاب جدیدی که خریدم هنوز بسته است.",Neutral
"درب جلوی خانه باز است.",Neutral
"یخچال پر از میوه است.",Neutral
"تلویزیون خاموش است.",Neutral
"کارت اعتباری در کیف قرار دارد.",Neutral
"پله‌ها تمیز هستند.",Neutral
"کامپیوتر روشن است.",Neutral
"یک پاکت نامه روی میز است.",Neutral
"درختان در بهار شکوفه داده‌اند.",Neutral
"در کف اتاق یک قالی پهن شده است.",Neutral
"چای داغ در فنجان قرار دارد.",Neutral
"عینک روی میز قرار دارد.",Neutral
"در اتاق یک میز تحریر وجود دارد.",Neutral
"برف در حال باریدن است.",Neutral
"درختان سایه‌ای در حیاط ایجاد کرده‌اند.",Neutral
"چمن‌ها در پارک سبز هستند.",Neutral
"یک پنکه در گوشه اتاق قرار دارد.",Neutral
"گلابی‌ها در سبد چیده شده‌اند.",Neutral
"شیشه پنجره به درستی بسته شده است.",Neutral
"کتاب‌ها به ترتیب روی قفسه قرار دارند.",Neutral
"میز کار پر از کاغذ است.",Neutral
"در اتاق یک چراغ مطالعه روشن است.",Neutral
"داخل کمد لباس‌ها مرتب چیده شده‌اند.",Neutral
"موز در ظرف میوه قرار دارد.",Neutral
"آب‌انبار پر است.",Neutral
"من خوشحالم",Positive
"بابا دمت گرم، خیلی حال دادی!",Positive
"پسر اینجا خیلی خوبه، خوش می‌گذره.",Positive
"واااای این غذا ترکوند، عجب مزه‌ای!",Positive
"دمشون گرم، چه برخورد خوبی داشتن.",Positive
"خیلی کیف داد این سفر، فوق‌العاده بود.",Positive
"داداش این کار عالی بود، حال کردم.",Positive
"خیلی بهم چسبید، عاشق اینجا شدم.",Positive
"خداییش این چیزا آدمو شاد می‌کنه.",Positive
"عجب جای خفنی، حتماً باید دوباره بیام.",Positive
"این برنامه خیلی باحال بود، دمتون گرم.",Positive
"اصلاً حال نکردم، خیلی افتضاح بود.",Negative
"داداش این غذا افتضاح بود، حیف پولم.",Negative
"وای چه وضعیه، اصلاً خوش نگذشت.",Negative
"اصلاً انتظار نداشتم، خیلی داغون بود.",Negative
"بابا اینا اصلاً نمی‌فهمن چیکار می‌کنن.",Negative
"خیلی ضایع بود، اصلاً حال نداد.",Negative
"داداش اینجا خیلی شلوغه، نمی‌شه نفس کشید.",Negative
"کیفم کوک نشد، اصلاً ارزشش رو نداشت.",Negative
"حیف وقت و انرژی که گذاشتم، افتضاح بود.",Negative
"اینجا اصلاً اون چیزی نبود که فکر می‌کردم.",Negative
"پسر عجب روز خوبی بود، خیلی کیف داد!",Positive
"عجب موزیکی بود، خیلی باحال بود.",Positive
"خیلی چسبید، باید دوباره امتحانش کنم.",Positive
"کلی خندیدیم، واقعاً خوش گذشت.",Positive
"دمتون گرم که اینقدر هوای ما رو داشتید.",Positive
"داداش مرسی، خیلی کارم راه افتاد.",Positive
"این آدم خیلی پایه‌ست، خیلی حال کردم.",Positive
"حس خوبی گرفتم از این کار، عالی بود.",Positive
"خیلی خوب بودن، اصلاً انتظارشو نداشتم.",Positive
"اصلاً باورم نمی‌شه، اینقدر ضعیف بودن.",Negative
"یه روز کاملاً داغون داشتم، خیلی بد بود.",Negative
"پسر این چه غذایی بود، افتضاح.",Negative
"یه چیز عجیب و بی‌معنی بود، حال نکردم.",Negative
"خیلی ضایع، واقعاً حیف وقت.",Negative
"این برنامه اصلاً ارزش وقت گذاشتن نداشت.",Negative
"بابا چرا اینقدر کند و بی‌نظم بودن؟",Negative
"خیلی بی‌سلیقه بودن، حالم گرفته شد.",Negative
"چه فاز داغونی داشتن، اصلاً بهم نچسبید.",Negative
"این اتفاق اصلاً خوب نبود، واقعاً ناامید شدم.",Negative
"داداش اینجا خیلی باحال بود، کلی حال کردیم.",Positive
"عجب سفری بود، کلی خاطره خوب ساختیم.",Positive
"هیچ جا مثل اینجا نمی‌تونه آدمو خوشحال کنه.",Positive
"وای مرسی که اینو پیشنهاد دادی، فوق‌العاده بود.",Positive
"هر لحظه‌اش پر از هیجان بود، واقعاً عالی بود.",Positive
"پسر این موزیک ترکوند، خیلی بهم چسبید.",Positive
"خیلی حال داد که تو جمع بودیم، دمتون گرم.",Positive
"این چالش خیلی جالب بود، خیلی خندیدیم.",Positive
"خیلی کیف داد، انگار تو یه دنیای دیگه بودم.",Positive
"داداش اینجا بهترین جای ممکنه، خیلی خوب بود.",Positive
"پسر چه افتضاحی بود اینجا، حیف وقتم.",Negative
"بابا این اصلاً خوب نبود، اصلاً ارزششو نداشت.",Negative
"این چه وضعیه، حال همه رو گرفت.",Negative
"هیچ چیز جالبی نداشت، فقط وقتم هدر رفت.",Negative
"وای که چقدر همه چی بد بود، اصلاً خوش نگذشت.",Negative
"خیلی بی‌برنامه بودن، کلافه شدم.",Negative
"چرا اینقدر همه چی بهم ریخته بود؟ حالم گرفت.",Negative
"فقط یه عالمه سر و صدا بود، اصلاً حال نکردم.",Negative
"این کار خیلی تو ذوقم زد، انتظار بیشتری داشتم.",Negative
"برو بابا، این چی بود، فقط پول دور ریختنه.",Negative
"عجب روز قشنگی بود، کلی حال و انرژی گرفتم.",Positive
"دمشون گرم، یه روز عالی رو برام ساختن.",Positive
"پسر از این رستوران نمی‌شه گذشت، خیلی خوبه.",Positive
"عجب تیم خوبی، خیلی با هم هماهنگ بودن.",Positive
"وای که چقدر امروز پر از انرژی مثبت بود.",Positive
"خیلی بامزه بودن، کلی خندیدیم.",Positive
"اینجا یه جور حس آرامش می‌ده، واقعاً عالیه.",Positive
"تجربه خیلی خاصی بود، حتماً دوباره می‌آم.",Positive
"این کارشون خیلی حرفه‌ای بود، دمتون گرم.",Positive
"خیلی خوب بودن، حس خوبی گرفتم ازشون.",Positive
"پسر اینجا خیلی خراب بود، فقط پولمو هدر دادم.",Negative
"وای اصلاً به درد نمی‌خورد، پشیمون شدم.",Negative
"حالم گرفته شد، هیچ چیز اونطور که باید نبود.",Negative
"این کار فقط عذاب بود، اصلاً خوش نگذشت.",Negative
"خیلی خسته‌کننده بود، دیگه اینجا نمی‌آم.",Negative
"یه روز کاملاً اعصاب‌خردکن داشتم، حالم بد شد.",Negative
"پسر اینجا پر از شلوغی و بی‌نظمی بود.",Negative
"اصلاً برنامه‌ریزی درستی نداشتن، همش استرس بود.",Negative
"این آدم خیلی عجیب رفتار می‌کرد، حس بدی گرفتم.",Negative
"خیلی ناامید شدم، اصلاً چیزی که می‌خواستم نبود.",Negative
"پسر چقدر خفن بود اینجا، کلی حال کردم.",Positive
"خیلی خوب بود، واقعاً ارزش وقت گذاشتن داشت.",Positive
"حس می‌کنم بهترین روزم بود، کلی انرژی گرفتم.",Positive
"وای که چقدر اینجا عالی بود، همه چی اوکی بود.",Positive
"اینجا واقعاً آدمو شارژ می‌کنه، عالی بود.",Positive
"پسر این غذا خیلی باحال بود، مرسی که پیشنهاد دادی.",Positive
"خیلی فضای خوبی داشتن، اصلاً دلم نمی‌خواست برم.",Positive
"اینجا یه حال عجیبی داره، خیلی کیف کردم.",Positive
"عجب برنامه‌ای بود، خیلی حرفه‌ای برگزار شد.",Positive
"دمشون گرم، همه چیز طبق برنامه پیش رفت.",Positive
"اصلاً نفهمیدم چرا اینقدر خسته‌کننده بود.",Negative
"فقط یه مشت حرف بی‌خود بود، حال نکردم.",Negative
"اینقدر صدا زیاد بود که سردرد گرفتم.",Negative
"پسر اینجا واقعاً داغون بود، اعصابم خرد شد.",Negative
"خیلی سطح پایین بود، دیگه نمی‌رم.",Negative
"وقت تلف کردن محض بود، اصلاً ارزش نداشت.",Negative
"چرا هیچ چیزی طبق برنامه نبود؟ خیلی افتضاح.",Negative
"کلی پول خرج کردم و هیچ چیز خوبی ندیدم.",Negative
"اصلاً خوشایند نبود، خیلی اعصاب‌خردکن بود.",Negative
"اینجا فقط آدمو خسته می‌کنه، حیف وقت.",Negative
"انسان خوبی به نظز میاد",Positive
"به همه کمک میکنه",Positive
"طی این سال ها ، بهترین فردی بود که میشناختم",Positive
"خوشحالم که این پول رو جای خوبی خرج کردم",Positive
"تمام این مدت این حس های خوب رو داشتم",Positive
"تموم اون روزای خوب رو به خوشی یادمه",Positive
"سال های گذشته رو با لعن و نفرین به تو رد کردم",Negative
"این گلها بوی خوبی دارند",Positive
"روز بدی بنظر میرسه",Negative
